open,high,low,close,volume,year,month,day
19057.74,19719.1,18959.68,19629.08,293585.75212,1970,1,1
16966.35,17107.01,16906.37,17088.96,218730.76883,1970,1,1
20158.26,20456.6,19853.0,19960.67,320122.1702,1970,1,1
20872.99,21474.05,20611.48,21185.65,293078.08262,1970,1,1
16279.5,16319.0,15476.0,15781.29,324096.997753,1970,1,1
43170.47,43900.99,42727.35,43444.19,37396.54156,1970,1,1
26574.53,26895.84,21925.77,22487.41,254611.034966,1970,1,1
19327.44,19360.16,19065.97,19123.97,186137.29538,1970,1,1
24843.89,25250.0,24148.34,24452.16,376000.82868,1970,1,1
30304.66,30316.06,29240.65,29430.27,56441.81127,1970,1,1
29637.35,30550.0,29590.0,30200.42,67990.07621,1970,1,1
21625.19,21906.32,21599.78,21862.55,177021.58433,1970,1,1
23313.56,23354.36,22909.52,22954.21,83911.80307,1970,1,1
19204.29,19695.0,19070.11,19570.4,167057.20184,1970,1,1
29031.33,29587.78,28839.21,29468.1,27567.34764,1970,1,1
37630.8,38675.0,37386.38,38468.35,38812.24104,1970,1,1
19942.21,20918.35,18975.0,19279.8,111844.59494,1970,1,1
19813.03,20490.0,19797.94,20050.02,276946.60765,1970,1,1
22622.41,23472.86,22586.95,23312.42,175251.69749,1970,1,1
42753.96,43410.3,41868.0,42158.85,22771.09403,1970,1,1
39942.37,40870.36,39766.4,40551.9,24026.35739,1970,1,1
16442.91,17249.0,16428.3,17163.64,303019.80719,1970,1,1
22954.31,24199.72,22582.13,23842.93,236029.0741,1970,1,1
22783.35,23078.71,22292.37,22707.88,253577.75286,1970,1,1
21185.65,21647.45,20841.31,21134.81,275407.74409,1970,1,1
40480.01,40795.06,39177.0,39709.18,46664.0196,1970,1,1
19226.68,20385.86,18816.32,19079.13,593260.74161,1970,1,1
22827.38,23320.0,22714.77,23125.13,264649.34909,1970,1,1
46283.49,47213.0,45620.0,45811.0,37073.53582,1970,1,1
16896.15,16925.0,16723.0,16824.67,156810.96362,1970,1,1
21299.37,21365.27,20886.13,20905.58,230036.97217,1970,1,1
39235.72,40372.63,38881.43,39742.07,56086.6715,1970,1,1
21998.05,24500.0,21813.88,24113.48,687889.31259,1970,1,1
37716.57,38720.74,37268.44,38166.84,26129.49682,1970,1,1
27717.01,28438.55,27303.1,28105.47,420929.7422,1970,1,1
39974.45,40444.32,39639.03,40079.17,18042.0551,1970,1,1
18921.99,19180.21,18629.2,18807.38,191191.4492,1970,1,1
39422.01,40236.26,38223.6,38729.57,59018.7642,1970,1,1
24305.25,25211.32,23773.22,24094.82,242539.54758,1970,1,1
20574.0,21090.0,19637.03,20573.89,109028.94154,1970,1,1
16672.78,16778.4,16605.28,16675.18,159541.53733,1970,1,1
29109.14,29845.86,28669.0,29654.58,59442.96036,1970,1,1
50701.44,50704.05,47313.01,47543.74,45853.33924,1970,1,1
41660.0,43505.0,40553.31,40680.91,42330.33953,1970,1,1
43902.65,44500.0,42311.22,42560.11,34910.87762,1970,1,1
29700.21,29988.88,29485.0,29864.04,25617.90113,1970,1,1
36013.77,36146.3,34785.0,35472.39,34281.70682,1970,1,1
21132.29,21650.0,20407.15,20677.47,350916.01949,1970,1,1
16227.96,16706.0,16160.2,16603.11,264927.70408,1970,1,1
